#separator:comma
#html:false
#deck:英文解釈
#notetype:Basic
#tags column:3
"That the committee approved the proposal without a single objection surprised even its most optimistic supporters.

Q. この文の主節の述語動詞(V)はどれ?
A) approved
B) surprised
C) この文にVはない","正解: B) surprised

訳: 委員会が一つの異議もなくその提案を承認したことは、最も楽観的な支持者たちさえ驚かせた。",reading 構文把握
"The realization that everything he had worked for could vanish overnight came to him only after the company collapsed.

Q. 和訳してみてください。",【訳例】自分が積み上げてきたすべてが一夜にして消えうるという実感は、会社が倒産して初めて彼に訪れた。,reading 構文把握
"What matters is not what you read but how what you read changes what you do.

Q. 和訳してみてください。",【訳例】重要なのは何を読むかではなく、読んだものが行動をどう変えるかだ。,reading 構文把握
"Attempts to explain the phenomenon in purely economic terms have consistently failed.

Q. 和訳してみてください。",【訳例】その現象を純粋に経済の観点だけで説明しようとする試みは、ことごとく失敗してきた。,reading 名詞構文・無生物主語
"Her insistence on doing everything herself made delegating impossible, and the team suffered for it.

Q. 和訳してみてください。",【訳例】彼女が何もかも自分でやると言って聞かなかったため、仕事を任せることができず、チームはそのつけを払った。,reading 名詞構文・無生物主語
"The discovery of the manuscript owed more to luck than to scholarship.

Q. 意味に最も近いのは?
A) 学識より運のおかげだった
B) 学問が運に借りを作った
C) 写本の価値は低かった","正解: A) 学識より運のおかげだった

訳: その写本の発見は、学識よりも運に負うところが大きかった。",reading 名詞構文・無生物主語
"Some problems demand immediate action; others, patient observation.

Q. 「others,」の後に省略されている語は?
A) demand
B) are
C) have","正解: A) demand

訳: 即座の行動を要する問題もあれば、辛抱強い観察を要する問題もある。",reading 省略・共通関係
"He spoke of what he had seen, and she of what she had only imagined.

Q. 和訳してみてください。",【訳例】彼は自分が実際に見たものを語り、彼女は想像しただけのものを語った。,reading 省略・共通関係
"The plan was ambitious, the budget modest, and the deadline absurd.

Q. 和訳してみてください。",【訳例】計画は野心的で、予算はつつましく、締め切りは無茶だった。,reading 省略・共通関係
"When in doubt, consult the original text rather than a translation.

Q. 和訳してみてください。",【訳例】迷ったときは、翻訳ではなく原文に当たれ。,reading 省略・共通関係
"She has contributed more to this field than any of her critics ever will.

Q. 和訳してみてください。",【訳例】彼女はこの分野に、批判者の誰がこの先なしうるよりも大きな貢献を、すでにしてきた。,reading 省略・共通関係
"Older readers tend to value depth; younger ones, speed.

Q. 和訳してみてください。",【訳例】年配の読者は深さを重んじる傾向があり、若い読者は速さを重んじる。,reading 省略・共通関係
"Not until the final chapter does the author reveal what the title really means.

Q. 主節の主語は?
A) the final chapter
B) the author
C) the title","正解: B) the author

訳: 最終章になって初めて、著者はタイトルの真意を明かす。",reading 倒置・強調
